id,time,into_city,intercity,passenger,decision,battery,whether_city,matched_order
5,77,6,0,6,3,13486.148193053516,False,"{874: Order(id=874, passengers=1, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=5,distance=166,battery=1669.4458232285854, status=Matched), 882: Order(id=882, passengers=1, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=5,distance=103,battery=1030.0284397611097, status=Matched), 885: Order(id=885, passengers=1, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=5,distance=166,battery=1663.283862543235, status=Matched)}"
6,77,6,4,0,0,16610.691975476235,True,{}
7,77,5,1,3,3,238.15718004011478,False,"{726: Order(id=726, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=7,distance=105,battery=1055.2379909793358, status=Matched)}"
8,77,0,6,7,3,12489.73239034294,False,"{835: Order(id=835, passengers=3, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=8,distance=166,battery=1668.3938013313789, status=Matched)}"
9,77,1,6,3,3,19370.01997044339,False,"{972: Order(id=972, passengers=2, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=9,distance=105,battery=1053.2673558598524, status=Matched), 974: Order(id=974, passengers=2, departure=2, destination=5,virtual_departure=2, matched_vehicle_id=9,distance=93,battery=933.2757186610506, status=Matched), 975: Order(id=975, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=838.6669700802235, status=Matched), 985: Order(id=985, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=832.5854755189912, status=Matched), 986: Order(id=986, passengers=1, departure=3, destination=0,virtual_departure=3, matched_vehicle_id=9,distance=112,battery=1121.5968692681627, status=Matched)}"
10,77,0,6,4,3,13074.125598134404,False,"{871: Order(id=871, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=10,distance=30,battery=308.8444392203341, status=Matched)}"
11,77,0,4,3,3,7479.938845865557,False,"{895: Order(id=895, passengers=5, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=11,distance=166,battery=1663.1845079557872, status=Matched), 942: Order(id=942, passengers=2, departure=5, destination=4,virtual_departure=5, matched_vehicle_id=11,distance=109,battery=1093.7564304368177, status=Matched)}"
12,77,6,3,7,3,3812.311370760379,False,"{862: Order(id=862, passengers=2, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=12,distance=103,battery=1030.4547976424528, status=Matched), 863: Order(id=863, passengers=1, departure=4, destination=1,virtual_departure=4, matched_vehicle_id=12,distance=108,battery=1081.5517815264095, status=Matched)}"
13,77,6,0,2,3,7685.7823829883055,False,"{956: Order(id=956, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=13,distance=30,battery=300.57571698169966, status=Matched), 977: Order(id=977, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=13,distance=143,battery=1433.39738326551, status=Matched), 979: Order(id=979, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=13,distance=143,battery=1437.5746063125239, status=Matched)}"
14,77,5,0,7,3,9840.042740424753,False,"{691: Order(id=691, passengers=1, departure=1, destination=7,virtual_departure=1, matched_vehicle_id=14,distance=59,battery=592.4651301819151, status=Matched)}"
15,77,6,4,1,3,14618.271015775294,False,"{875: Order(id=875, passengers=3, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=15,distance=105,battery=1054.599915768473, status=Matched), 970: Order(id=970, passengers=3, departure=1, destination=4,virtual_departure=1, matched_vehicle_id=15,distance=108,battery=1086.3085217773742, status=Matched), 997: Order(id=997, passengers=1, departure=4, destination=5,virtual_departure=4, matched_vehicle_id=15,distance=109,battery=1093.57941952905, status=Matched)}"
16,77,5,6,3,3,12682.494020467739,False,"{785: Order(id=785, passengers=4, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=16,distance=143,battery=1430.9610501848995, status=Matched)}"
17,77,0,2,7,3,7888.177783425057,False,"{963: Order(id=963, passengers=2, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=17,distance=143,battery=1435.0740063243331, status=Matched), 964: Order(id=964, passengers=1, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=17,distance=103,battery=1032.8716683283155, status=Matched), 965: Order(id=965, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=17,distance=143,battery=1431.1006943640068, status=Matched), 967: Order(id=967, passengers=1, departure=0, destination=1,virtual_departure=0, matched_vehicle_id=17,distance=87,battery=878.8161232058178, status=Matched), 968: Order(id=968, passengers=1, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=17,distance=105,battery=1053.3793124383426, status=Matched)}"
18,77,6,0,5,3,11981.494992184069,False,"{728: Order(id=728, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1053.5430408242205, status=Matched), 914: Order(id=914, passengers=1, departure=5, destination=1,virtual_departure=5, matched_vehicle_id=18,distance=30,battery=308.86087856899894, status=Matched), 931: Order(id=931, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1050.6771936117952, status=Matched)}"
19,77,3,4,6,3,17216.850969074865,False,{}
0,78,6,5,7,3,10559.451433899152,False,"{653: Order(id=653, passengers=5, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=0,distance=166,battery=1662.4413950121761, status=Matched), 930: Order(id=930, passengers=2, departure=0, destination=5,virtual_departure=0, matched_vehicle_id=0,distance=70,battery=709.7195842632666, status=Matched)}"
1,78,1,2,5,3,7254.8389980962675,False,"{663: Order(id=663, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=1,distance=143,battery=1437.9070575980468, status=Matched)}"
2,78,6,4,4,3,11028.18922390334,False,"{771: Order(id=771, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1436.0086946300066, status=Matched), 780: Order(id=780, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1439.426474522278, status=Matched)}"
3,78,1,0,5,3,182.44319044664462,False,"{831: Order(id=831, passengers=3, departure=0, destination=3,virtual_departure=0, matched_vehicle_id=3,distance=112,battery=1126.524699927642, status=Matched)}"
4,78,4,0,7,3,11552.74528322996,False,"{715: Order(id=715, passengers=3, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=4,distance=103,battery=1033.6679395032702, status=Matched), 980: Order(id=980, passengers=2, departure=1, destination=6,virtual_departure=1, matched_vehicle_id=4,distance=78,battery=782.2099574635517, status=Matched), 989: Order(id=989, passengers=1, departure=5, destination=3,virtual_departure=5, matched_vehicle_id=4,distance=55,battery=559.871725965864, status=Matched), 991: Order(id=991, passengers=1, departure=6, destination=4,virtual_departure=6, matched_vehicle_id=4,distance=61,battery=619.8151366778687, status=Matched)}"
5,78,0,6,3,3,13476.148193053516,False,"{874: Order(id=874, passengers=1, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=5,distance=166,battery=1669.4458232285854, status=Matched), 882: Order(id=882, passengers=1, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=5,distance=103,battery=1030.0284397611097, status=Matched), 885: Order(id=885, passengers=1, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=5,distance=166,battery=1663.283862543235, status=Matched)}"
6,78,4,3,7,3,16610.691975476235,False,{}
7,78,5,1,3,3,228.15718004011478,False,"{726: Order(id=726, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=7,distance=105,battery=1055.2379909793358, status=Matched)}"
8,78,0,6,7,3,12479.73239034294,False,"{835: Order(id=835, passengers=3, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=8,distance=166,battery=1668.3938013313789, status=Matched)}"
9,78,1,6,3,3,19360.01997044339,False,"{972: Order(id=972, passengers=2, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=9,distance=105,battery=1053.2673558598524, status=Matched), 974: Order(id=974, passengers=2, departure=2, destination=5,virtual_departure=2, matched_vehicle_id=9,distance=93,battery=933.2757186610506, status=Matched), 975: Order(id=975, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=838.6669700802235, status=Matched), 985: Order(id=985, passengers=1, departure=4, destination=3,virtual_departure=4, matched_vehicle_id=9,distance=83,battery=832.5854755189912, status=Matched), 986: Order(id=986, passengers=1, departure=3, destination=0,virtual_departure=3, matched_vehicle_id=9,distance=112,battery=1121.5968692681627, status=Matched)}"
10,78,0,6,4,3,13064.125598134404,False,"{871: Order(id=871, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=10,distance=30,battery=308.8444392203341, status=Matched)}"
11,78,0,4,3,3,7469.938845865557,False,"{895: Order(id=895, passengers=5, departure=4, destination=2,virtual_departure=4, matched_vehicle_id=11,distance=166,battery=1663.1845079557872, status=Matched), 942: Order(id=942, passengers=2, departure=5, destination=4,virtual_departure=5, matched_vehicle_id=11,distance=109,battery=1093.7564304368177, status=Matched)}"
12,78,6,3,7,3,3802.311370760379,False,"{862: Order(id=862, passengers=2, departure=6, destination=3,virtual_departure=6, matched_vehicle_id=12,distance=103,battery=1030.4547976424528, status=Matched), 863: Order(id=863, passengers=1, departure=4, destination=1,virtual_departure=4, matched_vehicle_id=12,distance=108,battery=1081.5517815264095, status=Matched)}"
13,78,6,0,2,3,7675.7823829883055,False,"{956: Order(id=956, passengers=1, departure=1, destination=5,virtual_departure=1, matched_vehicle_id=13,distance=30,battery=300.57571698169966, status=Matched), 977: Order(id=977, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=13,distance=143,battery=1433.39738326551, status=Matched), 979: Order(id=979, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=13,distance=143,battery=1437.5746063125239, status=Matched)}"
14,78,5,0,7,3,9830.042740424753,False,"{691: Order(id=691, passengers=1, departure=1, destination=7,virtual_departure=1, matched_vehicle_id=14,distance=59,battery=592.4651301819151, status=Matched)}"
15,78,6,4,1,3,14608.271015775294,False,"{875: Order(id=875, passengers=3, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=15,distance=105,battery=1054.599915768473, status=Matched), 970: Order(id=970, passengers=3, departure=1, destination=4,virtual_departure=1, matched_vehicle_id=15,distance=108,battery=1086.3085217773742, status=Matched), 997: Order(id=997, passengers=1, departure=4, destination=5,virtual_departure=4, matched_vehicle_id=15,distance=109,battery=1093.57941952905, status=Matched)}"
16,78,6,4,3,3,12672.494020467739,False,"{785: Order(id=785, passengers=4, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=16,distance=143,battery=1430.9610501848995, status=Matched)}"
17,78,0,2,7,3,7878.177783425057,False,"{963: Order(id=963, passengers=2, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=17,distance=143,battery=1435.0740063243331, status=Matched), 964: Order(id=964, passengers=1, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=17,distance=103,battery=1032.8716683283155, status=Matched), 965: Order(id=965, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=17,distance=143,battery=1431.1006943640068, status=Matched), 967: Order(id=967, passengers=1, departure=0, destination=1,virtual_departure=0, matched_vehicle_id=17,distance=87,battery=878.8161232058178, status=Matched), 968: Order(id=968, passengers=1, departure=2, destination=6,virtual_departure=2, matched_vehicle_id=17,distance=105,battery=1053.3793124383426, status=Matched)}"
18,78,0,2,5,3,11971.494992184069,False,"{728: Order(id=728, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1053.5430408242205, status=Matched), 914: Order(id=914, passengers=1, departure=5, destination=1,virtual_departure=5, matched_vehicle_id=18,distance=30,battery=308.86087856899894, status=Matched), 931: Order(id=931, passengers=3, departure=6, destination=2,virtual_departure=6, matched_vehicle_id=18,distance=105,battery=1050.6771936117952, status=Matched)}"
19,78,3,4,6,3,17206.850969074865,False,{}
0,79,6,5,7,3,10549.451433899152,False,"{653: Order(id=653, passengers=5, departure=2, destination=4,virtual_departure=2, matched_vehicle_id=0,distance=166,battery=1662.4413950121761, status=Matched), 930: Order(id=930, passengers=2, departure=0, destination=5,virtual_departure=0, matched_vehicle_id=0,distance=70,battery=709.7195842632666, status=Matched)}"
1,79,1,2,5,3,7244.8389980962675,False,"{663: Order(id=663, passengers=3, departure=0, destination=4,virtual_departure=0, matched_vehicle_id=1,distance=143,battery=1437.9070575980468, status=Matched)}"
2,79,6,4,4,3,11018.18922390334,False,"{771: Order(id=771, passengers=3, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1436.0086946300066, status=Matched), 780: Order(id=780, passengers=2, departure=4, destination=0,virtual_departure=4, matched_vehicle_id=2,distance=143,battery=1439.426474522278, status=Matched)}"
3,79,1,0,5,3,172.44319044664462,False,"{831: Order(id=831, passengers=3, departure=0, destination=3,virtual_departure=0, matched_vehicle_id=3,distance=112,battery=1126.524699927642, status=Matched)}"
4,79,4,0,7,3,11542.74528322996,False,"{715: Order(id=715, passengers=3, departure=3, destination=6,virtual_departure=3, matched_vehicle_id=4,distance=103,battery=1033.6679395032702, status=Matched), 980: Order(id=980, passengers=2, departure=1, destination=6,virtual_departure=1, matched_vehicle_id=4,distance=78,battery=782.2099574635517, status=Matched), 989: Order(id=989, passengers=1, departure=5, destination=3,virtual_departure=5, matched_vehicle_id=4,distance=55,battery=559.871725965864, status=Matched), 991: Order(id=991, passengers=1, departure=6, destination=4,virtual_departure=6, matched_vehicle_id=4,distance=61,battery=619.8151366778687, status=Matched)}"
